City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,oyugis,-0.509,34.7358,29.24,43,43,4.14,KE,1711447347
305,talnakh,69.4865,88.3972,-24.31,90,98,2.74,RU,1711447348
306,thompson,55.7435,-97.8558,-20.91,54,0,1.54,CA,1711447300
307,rodnikovskaya,44.7644,40.6656,10.9,54,100,9.81,RU,1711447349
308,gaigeturi,33.4644,126.3183,9.03,71,75,2.57,KR,1711447287
309,mozarlandia,-14.7447,-50.5706,21.92,96,100,0.92,BR,1711447293
310,faya-largeau,17.9257,19.1043,30.94,8,0,8.23,TD,1711447350
311,pula,44.8683,13.8481,13.31,58,40,5.14,HR,1711447351
312,yaguachi nuevo,-2.1167,-79.6833,25.99,97,88,0.45,EC,1711447351
313,zouerate,22.7187,-12.4521,19.12,57,0,4.48,MR,1711447351
314,alofi,-19.0595,-169.9187,24.94,100,80,0.51,NU,1711447352
315,thunder bay,48.4001,-89.3168,-4.01,86,100,5.66,CA,1711447335
316,midelt,32.6852,-4.7451,7.12,70,67,10.45,MA,1711447353
317,necochea,-38.5473,-58.7368,11.07,85,33,3.93,AR,1711447174
318,mecca,21.4267,39.8261,28.33,12,0,2.11,SA,1711447338
319,happy valley-goose bay,53.3168,-60.3315,-10.83,57,20,4.12,CA,1711447354
320,kodinar,20.7903,70.7031,31.64,47,0,8.27,IN,1711447355
321,punta alta,-38.8759,-62.0736,17.86,63,96,3.64,AR,1711447355
322,nova vicosa,-17.8919,-39.3719,25.04,85,68,2.31,BR,1711447074
323,phuntsholing,26.8516,89.3884,28.15,43,82,2.34,BT,1711447356
324,punta del este,-34.9667,-54.95,17.15,81,20,1.03,UY,1711447202
325,sal rei,16.1833,-22.9167,23.11,64,75,9.77,CV,1711447357
326,gadzhiyevo,69.2551,33.3362,-8.74,70,96,2.5,RU,1711447272
327,mana,5.6592,-53.7767,25.36,81,88,2.88,GF,1711447358
328,horta,38.5333,-28.6333,16.12,70,40,11.83,PT,1711447359
329,tha khanon,9.0302,98.9529,36.69,45,87,6.22,TH,1711447359
330,boradigah,38.9339,48.7038,19.02,54,4,2.13,AZ,1711447360
331,hosur,12.7167,77.8167,35.95,15,0,6.88,IN,1711447361
332,am timan,11.0297,20.2827,37.12,20,85,6.53,TD,1711447361
333,aasiaat,68.7098,-52.8699,-12.53,97,99,1.76,GL,1711447362
334,port douglas,-16.4833,145.4667,27.14,88,100,0.92,AU,1711447362
335,brazzaville,-4.2658,15.2832,28.2,74,20,2.57,CG,1711447210
